rider_slug,riding_hand,total_records,career_qual_pct,career_rides,career_attempts,career_avg_score,career_high_score
Mike+Hammer,,11,18.18,2,11,70.0,70.0
Mike+Kappes,Left,73,23.73,14,59,76.46,89.0
Mike+Landes,,1,0.0,0,1,0.0,0.0
Mike+Langenfeld,,10,22.22,2,9,73.0,75.0
Mike+Lee,Left,2018,46.23,878,1899,85.04,93.75
Mike+Lemen,,4,100.0,2,2,76.0,77.0
Mike+Lopes,,1,100.0,1,1,76.0,76.0
Mike+Moore,Left,690,37.2,215,578,81.26,94.0
Mike+Petty,,57,16.33,8,49,82.06,88.0
Mike+Ruby,Left,117,33.33,33,99,77.73,90.0
Mike+Scarlavai,,97,46.59,41,88,78.6,88.0
Mike+Swanson,,15,0.0,0,12,0.0,0.0
Mike+Weber,,26,4.17,1,24,59.0,59.0
Mike+White,Right,618,43.07,255,592,87.03,95.75
Mike+Yunker,,7,0.0,0,6,0.0,0.0
Mikie+Cummins,Left,53,34.78,16,46,74.25,87.0
Miles+Mitts,,38,21.21,7,33,71.43,79.0
Milmo+Quintero,,1,,,,0.0,0.0
Milo+Dillard,,20,5.88,1,17,78.5,78.5
Milo+Torres,,3,,,,0.0,0.0
Milt+Brummett,,29,7.69,2,26,78.5,79.0
Mitch+Brewer,,33,3.23,1,31,75.0,75.0
Mitch+Glanville,,14,7.14,1,14,79.0,79.0
Mitchell+Flaming,,4,0.0,0,4,0.0,0.0
Mitchell+Noe,,6,0.0,0,6,0.0,0.0
Mitchell+Rogers,,17,33.33,4,12,81.25,83.0
Mitchell+White,,7,0.0,0,6,0.0,0.0
Monty+Luthy,,32,19.35,6,31,68.83,82.0
Monty+Parker,,18,5.56,1,18,70.0,70.0
Monty+Schaack,,131,25.86,30,116,73.47,83.0
Monty+Turley,,2,0.0,0,2,0.0,0.0
Morgan+Julian,,10,11.11,1,9,80.5,80.5
Morgan+Lincoln,,2,0.0,0,2,0.0,0.0
Morgan+Merrill,,6,0.0,0,6,0.0,0.0
Morgan+Troxel,,38,14.71,5,34,70.4,77.0
Mossy+Waite,Left,94,15.73,14,89,82.96,87.0
Murilo+Henrique+de+Oliveira,Left,35,41.18,14,34,86.05,87.75
Mykah+Bonaparte,,5,0.0,0,5,0.0,0.0
Myke+Brody,,1,0.0,0,1,0.0,0.0
Myron+Duarte,Right,738,38.31,213,556,81.03,94.0
Mystery+Guy,,6,33.33,2,6,73.5,79.0
Nash+Jones,Left,77,23.61,17,72,79.03,86.5
Nash+Loewen,,11,11.11,1,9,83.4,83.4
Natanael+Serra+Aires,Left,51,12.0,6,50,85.31,87.8
Nate+Flask,,2,0.0,0,2,0.0,0.0
Nate+Rauch,,1,0.0,0,1,0.0,0.0
Nate+Roskelley,,8,12.5,1,8,69.0,69.0
Nathan+Bayous,Left,104,18.81,19,101,80.87,88.2
Nathan+Dupuis,,5,0.0,0,5,0.0,0.0
Nathan+Foyil,Left,69,39.06,25,64,76.98,88.0
Nathan+Hofer,Left,129,17.12,19,111,77.26,86.5
Nathan+Jones,Right,70,19.12,13,68,72.46,78.0
Nathan+Klassen,Right,349,28.57,86,301,77.56,90.0
Nathan+Lenard,,13,10.0,1,10,68.0,68.0
Nathan+Mattox,,12,30.0,3,10,71.67,74.0
Nathan+Olsen,,21,0.0,0,16,0.0,0.0
Nathan+Story,,9,11.11,1,9,73.0,73.0
Neal+Bourne,,1,100.0,1,1,77.0,77.0
Neal+Wallator,Right,38,25.81,8,31,81.25,86.5
Ned+Cross,Left,816,39.14,290,741,82.64,91.0
Neil+Ballard,,1,0.0,0,1,0.0,0.0
Neil+Bourne,,82,42.62,26,61,76.81,91.0
Nelson+Ladouceur,,10,10.0,1,10,82.0,82.0
Newt+Barnes,,12,0.0,0,9,0.0,0.0
Nic+Jackson,,1,0.0,0,1,0.0,0.0
Nicholas+Klinck,Left,61,0.0,0,56,0.0,0.0
Nick+Birch,,45,27.5,11,40,80.05,86.0
Nick+Buckley,,127,36.0,45,125,80.61,95.0
Nick+Calhoun,,2,0.0,0,2,0.0,0.0
Nick+Duncombe,Left,105,37.5,36,96,70.53,83.0
Nick+Emerson,Right,104,13.4,13,97,79.77,91.0
Nick+Garramone,,32,0.0,0,31,0.0,0.0
Nick+Geyer,,28,5.0,1,20,77.0,77.0
Nick+Jensen,,21,0.0,0,21,0.0,0.0
Nick+Kaczmar,,114,5.56,6,108,81.92,88.0
Nick+Klapatch,,1,0.0,0,1,0.0,0.0
Nick+Nolen,,11,20.0,2,10,71.75,79.5
Nick+Ortuso,,1,0.0,0,1,0.0,0.0
Nick+Price,Right,219,40.2,82,204,79.12,90.0
Nick+Sanger,,32,25.0,8,32,71.13,87.5
Nick+Tetz,Left,486,44.18,201,455,84.8,92.0
Nick+Walker,,48,6.25,3,48,75.0,78.0
Nick+Willbanks,,14,23.08,3,13,69.33,74.0
Nick+Wood,,8,0.0,0,8,0.0,0.0
Nicky+Buckley,,1,0.0,0,1,0.0,0.0
Nicolas+Hernandez,,38,27.03,10,37,83.93,87.5
Nigel+Coates,,10,0.0,0,9,0.0,0.0
Nik+Williams,,4,0.0,0,4,0.0,0.0
Noah+Callahan,,1,0.0,0,1,0.0,0.0
Noah+Gonzales,,1,0.0,0,1,0.0,0.0
Noah+Higgins,,1,0.0,0,1,0.0,0.0
Noah+Jeffers,,13,0.0,0,13,0.0,0.0
Noah+Jones,,1,0.0,0,1,0.0,0.0
Noah+Lee,Left,119,68.38,80,117,86.12,93.0
Noah+Schmidt,,42,14.71,5,34,74.0,82.0
Nolan+LaRocca,,8,0.0,0,8,0.0,0.0
Obed+Terrazas,,2,0.0,0,2,0.0,0.0
Octavius+Christiansen,,14,7.14,1,14,84.7,84.7
Odey+Tom,,17,0.0,0,16,0.0,0.0
Odie+Martinez,,2,0.0,0,2,0.0,0.0
Olen+Troyer,,36,3.33,1,30,65.0,65.0
Orrin+Marshall,,27,7.41,2,27,78.5,80.5
Oscar+Calzadillas,,1,0.0,0,1,0.0,0.0
Osiel+Salamanca,,1,0.0,0,1,0.0,0.0
Oswaldo+Rivas,,8,0.0,0,7,0.0,0.0
Owen+Cherveny,,11,10.0,1,10,74.0,74.0
Owen+Monfeldt,Left,47,17.78,8,45,77.44,82.0
Owen+Washburn,Left,406,41.46,165,398,85.45,95.5
PJ+Huxen,,26,0.0,0,15,0.0,0.0
Pablo+Belmares,Left,14,0.0,0,10,0.0,0.0
Pablo+Soares,Left,21,31.58,6,19,83.13,88.5
Palmer+Merritt,Left,313,37.02,97,262,79.37,91.0
Parker+Breding,Left,1043,41.95,383,913,81.82,92.5
Pat+Johnson,,38,20.59,7,34,74.21,83.5
Pat+Vanek,,3,0.0,0,3,0.0,0.0
Patrick+Haley,,4,0.0,0,4,0.0,0.0
Patrick+Helgerson,,29,26.92,7,26,80.5,86.5
Patterson+Starcher,Right,337,22.15,70,316,81.38,91.0
Paul+Coppini,Right,554,21.41,103,481,80.4,93.0
Paul+Stephens,,1,0.0,0,1,0.0,0.0
Paul+Stevens,,47,11.11,4,36,78.5,84.0
Paul+Weinberger,Right,153,43.85,57,130,75.83,90.0
Paulo+Crimber,Right,754,52.49,369,703,83.4,93.5
Paulo+Eduardo+Rossetto,Right,369,42.94,149,347,85.32,91.5
Paulo+Ferreira+Lima,Left,789,34.95,259,741,84.39,95.25
Paulo+Souza,,18,6.25,1,16,88.95,88.95
Paycen+Dennis,,2,0.0,0,2,0.0,0.0
Payton+Fitzpatrick,Left,116,27.18,28,103,80.34,88.0
Payton+Konkel,,26,4.17,1,24,78.0,78.0
Payton+Nelson,Right,128,16.98,18,106,81.53,87.5
Pecos+Smith,,11,0.0,0,10,0.0,0.0
Pedro+Loera,,2,0.0,0,2,0.0,0.0
Pedro+Reynaga,,67,0.0,0,62,0.0,0.0
Pepper+Zeigler,,4,0.0,0,4,0.0,0.0
Perico+Enjady,,4,0.0,0,3,0.0,0.0
Perry+Schrock,Left,144,7.91,11,139,81.59,86.0
Pete+Bradshaw,,35,8.82,3,34,74.33,84.0
Peter+Fracchia,,31,8.0,2,25,68.0,74.0
Peter+Mincks,,3,0.0,0,3,0.0,0.0
Peter+Randle,Right,22,25.0,3,12,77.0,79.0
Phil+Betony,,10,0.0,0,10,0.0,0.0
Phil+Kaman,,3,0.0,0,2,0.0,0.0
Phil+Mertens,,13,0.0,0,10,0.0,0.0
Philbert+Carlston,,10,30.0,3,10,74.67,78.0
Philip+Elkins,Right,107,59.52,50,84,79.59,90.0
Phillip+Crenshaw,,2,0.0,0,1,0.0,0.0
Phillip+Hofer,,59,22.45,11,49,71.91,82.0
Phillip+Willard,,19,5.26,1,19,79.0,79.0
Phoenix+Marshall,Right,73,2.94,2,68,78.5,86.0
Pilar+Castaneda,,1,0.0,0,1,0.0,0.0
Pistol+Robinson,Left,1052,33.78,328,971,84.04,94.0
Pojo+Pojanowski,,4,0.0,0,4,0.0,0.0
Pokey+Houghton,Right,111,9.71,10,103,83.1,87.0
Poncho+Limas,Right,405,25.27,92,364,79.28,92.5
Preston+Jensen,,45,0.0,0,43,0.0,0.0
Preston+LaForett,,18,5.56,1,18,74.0,74.0
Preston+Wentworth,Left,5,0.0,0,5,0.0,0.0
Puff+Puffer,Right,14,41.67,5,12,66.6,78.0
Quentin+Gisler,,26,38.46,10,26,79.4,88.0
Quentin+Lowry,,16,31.25,5,16,78.0,85.0
Quetza+Jauregui,,30,12.0,3,25,68.67,78.0
Quinten+Panarra,,32,0.0,0,32,0.0,0.0
Qynn+Andersen,Right,337,40.51,126,311,84.2,90.5
RC+Tuck,,5,0.0,0,3,0.0,0.0
Rafael+Anderson+de+Sena,,6,0.0,0,6,0.0,0.0
Rafael+Gutierrez,,4,0.0,0,4,0.0,0.0
Rafael+Parra,,28,44.0,11,25,83.36,87.0
Raile+Joens,Right,200,16.32,31,190,78.48,89.5
Rambert+Hiebert,,2,100.0,2,2,74.5,79.0
Ramon+Fiorini,Right,120,31.86,36,113,81.77,89.0
Ramon+de+Lima,Left,686,40.95,258,630,83.68,90.5
Randen+Henry,Left,76,5.33,4,75,75.13,85.5
Randy+Hambling,,26,30.77,8,26,83.0,87.0
Randy+Marshall,,69,1.72,1,58,72.0,72.0
Randy+McCray,,33,18.75,6,32,76.0,84.0
Randy+Ridgely,,33,29.03,9,31,65.44,73.0
Randy+Samuels,,4,0.0,0,4,0.0,0.0
Randy+Schaapman,,33,3.45,1,29,84.5,84.5
Randy+Whitener,,17,0.0,0,16,0.0,0.0
Ras+Evarts,,65,24.19,15,62,77.93,88.0
Raul+Altamirano,,1,0.0,0,1,0.0,0.0
Rawley+Johnson,Right,388,25.56,92,360,83.21,91.5
Ray+Conrad,,4,0.0,0,3,0.0,0.0
Ray+Cortez,,5,20.0,1,5,53.0,53.0
Ray+Crawford,,1,0.0,0,1,0.0,0.0
Ray+Mayo,Right,196,28.32,49,173,80.25,86.0
Ray+Thurston,Right,189,33.33,58,174,71.74,85.0
Raymond+Henry,,1,0.0,0,1,0.0,0.0
Raymond+Postlethwait,,7,33.33,2,6,79.5,80.0
Raymond+Smith,,3,0.0,0,3,0.0,0.0
Red+Albers,,14,0.0,0,9,0.0,0.0
Reggie+Keil,,48,39.47,15,38,76.67,89.0
Regin+Fletcher,Left,107,23.53,24,102,76.4,88.0
Reid+Arnold,,3,66.67,2,3,78.5,79.0
Reid+Helgoth,,43,0.0,0,40,0.0,0.0
Renan+Almeida+Alves,Right,19,44.44,8,18,83.61,89.3
Renan+Almeida+Pinto,,2,50.0,1,2,89.5,89.5
Rene+Tate,,2,0.0,0,2,0.0,0.0
Reuben+Geleynse,Left,202,39.7,79,199,84.83,93.0
Rex+Malolo,,21,25.0,3,12,82.0,91.0
Rex+Phillips,,4,75.0,3,4,76.67,79.0
Reyden+Svatek,,7,0.0,0,7,0.0,0.0
Rhett+Willis,,18,12.5,2,16,78.75,81.5
Ricardo+Aguilar,,11,18.18,2,11,80.45,80.9
Ricardo+Bernal,,11,0.0,0,9,0.0,0.0
Ricardo+Gonzalez,,19,0.0,0,17,0.0,0.0
Rich+Macklin,,35,0.0,0,22,0.0,0.0
Rich+Parie,,2,0.0,0,2,0.0,0.0
Richard+Bird,,70,24.62,16,65,73.0,82.0
Richard+Callender,,3,,,,0.0,0.0
Richard+Lipsey,,7,0.0,0,7,0.0,0.0
Richard+Stapleman,,13,28.57,2,7,72.5,77.0
Rick+Christian,,4,0.0,0,2,0.0,0.0
Rick+Navarrette,,105,24.74,24,97,72.54,83.0
Rick+Wock,Right,218,29.44,58,197,77.13,93.0
Ricky+Sulivan,,1,,,,0.0,0.0
Ricky+Sullivan,,5,0.0,0,5,0.0,0.0
Ricky+Walch,,82,31.58,18,57,73.61,88.0
Rico+Enjady,,5,0.0,0,5,0.0,0.0
Ridge+Hughes,,2,0.0,0,2,0.0,0.0
Riggen+Lane+Hughes,Right,130,24.41,31,127,76.32,86.5
Riggin+Shippy,Left,331,24.51,75,306,79.56,88.0
Riggin+Wimberly,Right,32,6.25,2,32,79.0,80.0
Riley+Arabin,,2,0.0,0,2,0.0,0.0
Riley+Barg,Left,228,22.84,45,197,82.34,91.0
Riley+Harris,Right,120,8.91,9,101,82.39,87.0
Riley+Shippy,Left,199,29.57,55,186,80.16,89.5
Rip+Ripley,,1,100.0,1,1,73.0,73.0
Riquelmi+Silva,Left,23,50.0,11,22,86.25,89.45
Rob+Bell,Right,609,34.17,190,556,83.71,93.5
Rob+Crump,,44,33.33,13,39,71.31,80.0
Rob+Glasgow,,2,0.0,0,2,0.0,0.0
Rob+McComb,,2,0.0,0,1,0.0,0.0
Rob+Phipps,,21,5.56,1,18,49.0,49.0
Robbie+McBryde,Left,13,8.33,1,12,66.0,66.0
Robbie+Russell,,26,23.81,5,21,79.4,83.0
Robbie+Taylor+Jr.,Right,262,28.75,69,240,80.98,88.5
Robert+Baj,,37,0.0,0,34,0.0,0.0
Robert+Bowers,,272,28.7,64,223,80.74,90.0
Robert+Lynch,,8,33.33,2,6,65.0,68.0
Robert+Maynard,,1,0.0,0,1,0.0,0.0
Roberto+Andrade,,9,0.0,0,9,0.0,0.0
Robertson+Cody,,64,16.67,5,30,75.6,81.0
Robey+Condra,Right,476,32.23,136,422,82.3,92.0
Robin+Ashe,,25,0.0,0,24,0.0,0.0
Robson+Guedes,Right,91,22.67,17,75,84.38,89.25
Rock+Evans,,3,0.0,0,3,0.0,0.0
Rocky+Banta,,6,40.0,2,5,71.0,73.0
Rocky+Fry,,56,21.57,11,51,74.86,86.0
Rocky+McDonald,Right,900,36.03,281,780,82.79,93.0
Rocky+Wisecup,Left,43,27.5,11,40,72.73,85.0
Rod+Wietzki,,8,0.0,0,8,0.0,0.0
Rodney+Dosier,,7,0.0,0,4,0.0,0.0
Rodolfo+Flores+Cota,,7,0.0,0,6,0.0,0.0
Rodrigo+Junior+Rodrigues+de+Paula,,5,0.0,0,5,0.0,0.0
Rodrigo+Palos,,8,0.0,0,5,0.0,0.0
Roger+Gonzales,,1,0.0,0,1,0.0,0.0
Roger+Maestas,,1,0.0,0,1,0.0,0.0
Roger+Ricci,,2,50.0,1,2,62.0,62.0
Rogerio+Oliveira,,3,0.0,0,3,0.0,0.0
Rogerio+Venancio,Left,87,26.58,21,79,84.8,88.1
Rolfe+Schwartzkopf,,19,0.0,0,9,0.0,0.0
Romario+Goncalves+Domingos,,4,0.0,0,4,0.0,0.0
Romario+Leite,Left,88,32.14,27,84,84.58,88.0
Ron+Halverson,,1,0.0,0,1,0.0,0.0
Ron+Jennings,,5,0.0,0,4,0.0,0.0
Ron+Wallace,,26,4.35,1,23,57.0,57.0
Ronald+Uptegraft,,18,37.5,6,16,73.92,82.0
Ronilson+Santos,,1,0.0,0,1,0.0,0.0
Rooster+Cogburn,,2,0.0,0,2,0.0,0.0
Rooster+McKeeman,Right,156,32.89,49,149,83.78,91.0
Rooster+Ralls,,2,0.0,0,2,0.0,0.0
Rorey+Lemmel,,1,0.0,0,1,0.0,0.0
Rory+Oster,,12,0.0,0,10,0.0,0.0
Roscoe+Jarboe,Right,954,36.16,311,860,82.43,93.0
Ross+Bryant,Right,19,5.56,1,18,73.0,73.0
Ross+Coleman,Right,901,48.61,420,864,85.83,93.5
Ross+Kleven,Left,171,51.27,81,158,75.48,90.0
Ross+Lewis,Left,353,40.18,131,326,81.09,90.5
Rowan+Reyes,,4,0.0,0,2,0.0,0.0
Rowdy+Hughes,,10,0.0,0,10,0.0,0.0
Rowdy+Patton,,1,0.0,0,1,0.0,0.0
Rowdy+Payton,,7,14.29,1,7,62.0,62.0
Rowdy+Sanders,,56,15.38,8,52,83.25,89.0
Rowdy+Thomas,Left,111,32.99,32,97,79.41,88.0
Roy+Kerwood,Right,71,26.09,18,69,72.72,84.0
Royd+Doyal,Right,221,37.91,80,211,83.86,94.0
Royle+Scrogham,Right,112,31.13,33,106,81.7,90.0
Rubens+Barbosa,Right,796,26.49,204,770,85.24,95.75
Ruger+Piva,Left,738,33.18,213,642,82.97,92.0
Russ+Sanders,Left,142,35.0,42,120,76.14,92.0
Russell+Cissne,,7,0.0,0,7,0.0,0.0
Russell+McGalliard,,51,18.92,7,37,75.29,80.0
Rusty+Boccaleoni,,5,40.0,2,5,66.0,70.0
Rusty+Friend,,8,14.29,1,7,68.0,68.0
Rusty+Patrick,,176,43.4,69,159,78.55,89.5
Ryan+Albers,,45,6.82,3,44,77.67,84.0
Ryan+Bailey,,14,7.69,1,13,66.0,66.0
Ryan+Bitsui,,37,8.57,3,35,83.33,85.0
Ryan+Brown,Left,354,24.19,75,310,80.97,94.0
Ryan+Casteel,,13,0.0,0,10,0.0,0.0
Ryan+Collins,,27,4.17,1,24,80.0,80.0
Ryan+Dambruten,,3,33.33,1,3,63.0,63.0
Ryan+Davis,,6,0.0,0,6,0.0,0.0
Ryan+Dearman,,78,24.24,16,66,73.66,83.0
Ryan+Digney,,7,0.0,0,7,0.0,0.0
Ryan+Edmonds,Right,43,20.93,9,43,69.22,78.0
Ryan+Greenlee,Right,93,19.1,17,89,72.35,83.0
Ryan+Hochstrat,Right,110,25.58,22,86,74.09,91.0
Ryan+Howard,,61,27.78,15,54,68.4,84.0
Ryan+Hoxsey,,4,0.0,0,2,0.0,0.0
Ryan+Kornegay,,7,0.0,0,7,0.0,0.0
Ryan+Koropatnicki,,10,30.0,3,10,69.33,75.0
Ryan+Underwood,,2,0.0,0,2,0.0,0.0
Ryan+Velez,,1,0.0,0,1,0.0,0.0
Ryan+Weisner,,4,25.0,1,4,72.0,72.0
Ryder+Carpenetti,Left,29,14.81,4,27,84.56,86.5
Rye+Allred,,16,13.33,2,15,79.5,83.0
Ryer+Pete,,15,7.69,1,13,84.0,84.0
Rylee+Ward,,2,0.0,0,2,0.0,0.0
Ryson+Sweeney,,6,0.0,0,6,0.0,0.0
Sage+Kimzey,Right,1410,61.53,774,1258,84.87,94.0
Sage+Vance,Right,67,41.94,26,62,83.15,88.0
Sam+Berti,,4,0.0,0,4,0.0,0.0
Sam+Medlock,Left,329,29.33,83,283,79.99,91.5
Sam+Southern,Right,180,15.98,27,169,78.98,88.5
Sam+Wisecup,,20,15.79,3,19,69.67,72.0
Sam+Woodall,Right,40,12.5,5,40,83.7,92.0
Sammy+Baltazar,,17,0.0,0,15,0.0,0.0
Sammy+Laurent,,3,0.0,0,2,0.0,0.0
Samuelson+Sandoval,,3,0.0,0,3,0.0,0.0
Sancles+Jose+Capuchinho+Pereira,,3,0.0,0,2,0.0,0.0
Sandro+Batista,Left,244,49.12,111,226,84.32,91.25
Saul+Sandate,,10,10.0,1,10,82.0,82.0
Saul+Zambrano,Right,55,19.23,10,52,85.43,89.1
Schane+Simmons,,34,43.33,13,30,71.54,82.0
Scoobe+Halterman,,20,21.05,4,19,68.75,75.0
Scooter+Payne,,5,0.0,0,5,0.0,0.0
Scot+Allerdings,,3,0.0,0,3,0.0,0.0
Scott+Allerdings,,1,0.0,0,1,0.0,0.0
Scott+Blankenship,,60,20.69,12,58,70.33,81.5
Scott+Breding,Left,74,45.95,34,74,80.5,90.0
Scott+Crump,,13,22.22,2,9,71.5,73.0
Scott+Hill,,14,0.0,0,14,0.0,0.0
Scott+Mendes,Left,110,32.32,32,99,83.56,89.0
Scott+Sanders,,15,0.0,0,14,0.0,0.0
Scott+Schiffner,Right,714,35.1,232,661,82.17,92.5
Scott+Smith,,6,0.0,0,6,0.0,0.0
Scott+Stiles,,2,0.0,0,1,0.0,0.0
Scott+Wells,Right,284,30.12,78,259,82.93,90.0
Scott+Wristen,,1,0.0,0,1,0.0,0.0
Scottie+Knapp,Left,1388,28.97,356,1229,82.33,93.0
Scotty+Williams,Right,112,6.54,7,107,77.71,84.0
Scrawney+Brooks,,1,0.0,0,1,0.0,0.0
Sean+Allen,,36,37.93,11,29,75.36,83.0
Sean+Case,Left,331,22.83,71,311,76.81,90.0
Sean+Kampmeier,,39,21.88,7,32,63.71,75.0
Sean+Krei,Right,70,14.55,8,55,71.88,81.0
Sean+Moore,,32,15.63,5,32,60.2,72.0
Sean+Ruskanen,,1,0.0,0,1,0.0,0.0
Sean+Scalco,,8,20.0,1,5,74.0,74.0
Sean+Willingham,Right,1471,38.17,537,1407,85.28,91.5
Sebastian+Jackson,,13,18.18,2,11,80.0,86.0
Sergio+Cantoral,,13,7.69,1,13,82.0,82.0
Sergio+Gonzalez,,3,0.0,0,3,0.0,0.0
Seth+Fenner,,9,0.0,0,6,0.0,0.0
Seth+Green,Right,229,10.05,21,209,76.0,84.0
Seth+Prejeant,Right,53,12.0,6,50,78.42,84.0
Seth+Redding,,54,42.55,20,47,73.25,87.0
Seth+Reno,,22,0.0,0,17,0.0,0.0
Seth+Reynolds,Left,133,33.61,40,119,79.01,89.5
Seth+Schneider,,1,0.0,0,1,0.0,0.0
Sevi+Torturo,Left,354,39.76,132,332,83.71,92.5
Shad+Bruhn,Right,117,24.51,25,102,73.22,86.0
Shane+Bailey,,29,5.26,1,19,65.0,65.0
Shane+Drury,Right,100,34.83,31,89,78.24,85.0
Shane+Duncan,,82,30.0,24,80,77.94,87.0
Shane+Gordon,Left,570,31.86,159,499,75.59,92.0
Shane+Hunt,,3,0.0,0,3,0.0,0.0
Shane+Ludemann,,28,21.74,5,23,75.2,80.0
Shane+Lystang,,22,40.91,9,22,78.22,86.0
Shane+Mullen,,14,0.0,0,14,0.0,0.0
Shane+Needham,,8,0.0,0,8,0.0,0.0
Shane+Nickle,,23,5.0,1,20,47.0,47.0
Shane+Poole,,23,0.0,0,21,0.0,0.0
Shane+Reeder,Left,77,13.64,9,66,68.89,77.0
Shane+Scott,Left,80,28.95,22,76,78.53,89.0
Shane+Stone,,12,0.0,0,11,0.0,0.0
Shane+Williams,,11,0.0,0,11,0.0,0.0
Shannon+White,,3,0.0,0,3,0.0,0.0
Shaun+Roggenkamp,Right,12,0.0,0,12,0.0,0.0
Shaun+Seaford,,6,20.0,1,5,77.0,77.0
Shaun+Strickland,,10,0.0,0,9,0.0,0.0
Shawn+Bennett,Left,83,36.11,26,72,81.75,88.5
Shawn+Chapman,,1,0.0,0,1,0.0,0.0
Shawn+Coleman,Left,438,36.29,139,383,76.31,91.0
Shawn+Donahey,,12,0.0,0,7,0.0,0.0
Shawn+Graham,,1,0.0,0,1,0.0,0.0
Shawn+Hussey,,37,19.35,6,31,73.83,81.0
Shawn+McCalister,Right,55,13.21,7,53,81.14,88.0
Shawn+McIlwaine,,3,0.0,0,3,0.0,0.0
Shawn+Moody,,7,0.0,0,6,0.0,0.0
Shawn+Patrick,,59,25.0,14,56,71.39,82.0
Shawn+Shepherd,,24,15.0,3,20,84.0,87.0
Shawn+Silcox,,117,25.23,27,107,73.63,85.0
Shawn+Strickland,,1,0.0,0,1,0.0,0.0
Shawn+Waite,Right,241,35.16,77,219,78.36,89.0
Shay+Bowen,,5,20.0,1,5,69.0,69.0
Shay+Howey,,52,12.12,4,33,71.5,75.0
Shay+Marks,Right,340,22.22,70,315,83.39,89.5
Sheldon+Hunt,,5,0.0,0,5,0.0,0.0
Sheldon+Isom,,7,28.57,2,7,71.0,74.0
Sheridon+Hileman,,53,34.0,17,50,73.32,82.0
Shon+Lowry,,19,63.16,12,19,81.04,92.0
Shylo+Claypool,,1,100.0,1,1,76.0,76.0
Sidnei+Candido+de+Oliveira,,2,0.0,0,1,0.0,0.0
Skylar+Antonelli,,1,0.0,0,1,0.0,0.0
Slade+Malone,Right,67,26.42,14,53,74.93,87.0
Slade+Philley,,20,5.56,1,18,62.0,62.0
Smiley+Sierra,,9,12.5,1,8,82.0,82.0
Smitty+Smith,,3,,,,0.0,0.0
Sonny+Munns,Right,338,18.69,57,305,75.63,90.0
Spencer+Lipsey,Right,39,7.69,3,39,83.17,86.5
Spencer+Slaughter,Right,217,21.11,42,199,78.21,89.0
Spencer+Stanger,,2,0.0,0,2,0.0,0.0
Spinner+Burger,,78,8.0,6,75,79.83,83.0
Spook+Wiggins,Left,35,15.15,5,33,74.8,83.0
Spud+Tharp,,37,19.44,7,36,69.79,83.5
Spud+Whitman,Left,326,35.92,111,309,83.5,91.5
Spur+Owens,,10,0.0,0,10,0.0,0.0
Squirm+Osceola,,55,3.13,1,32,83.5,83.5
Stacy+Pipes,,4,25.0,1,4,84.0,84.0
Stefan+Tonita,Right,281,21.51,57,265,80.9,89.5
Stephen+Harthcock,Left,37,12.12,4,33,78.38,83.0
Stephen+Robinson,,2,0.0,0,1,0.0,0.0
Stetson+Herrera,,8,42.86,3,7,72.33,83.0
Stetson+Iverson,,17,6.25,1,16,83.7,83.7
Stetson+Long,,20,0.0,0,18,0.0,0.0
Stetson+Wright,Left,746,60.57,381,629,86.1,94.5
Steve+Antczak,Left,184,28.49,49,172,74.12,87.0
Steve+Balgeman,Right,141,42.31,55,130,73.16,88.0
Steve+Fazio,,64,14.29,6,42,72.0,77.0
Steve+Heinle,,33,9.38,3,32,74.67,78.0
Steve+Johnson,,6,0.0,0,6,0.0,0.0
Steve+Oddy,Left,165,15.53,25,161,76.86,89.0
Steve+Riggs,,5,0.0,0,5,0.0,0.0
Steve+Spencer,,23,35.0,7,20,75.71,82.0
Steve+Washington,,39,24.14,7,29,69.14,84.0
Steven+Folks,,1,0.0,0,1,0.0,0.0
Steven+Garrigan,,4,0.0,0,4,0.0,0.0
Steven+Lambert,,165,38.21,47,123,73.28,86.0
Steven+Lile,Right,60,36.36,20,55,83.03,88.0
Steven+Lobsack,,1,0.0,0,1,0.0,0.0
Steven+Parker,,5,0.0,0,5,0.0,0.0
Steven+Turner,Left,384,38.86,129,332,79.04,91.0
Steven+Wall,,10,33.33,3,9,72.0,85.0
Stevie+Breeding,,3,0.0,0,3,0.0,0.0
Stewart+Cole,,19,16.67,3,18,72.33,74.0
Stewart+Jones,,11,0.0,0,8,0.0,0.0
Storm+Howard,Left,42,12.2,5,41,80.9,85.5
Storm+Noskye,,3,0.0,0,3,0.0,0.0
Stran+Smith,Left,250,29.36,64,218,79.89,86.5
Stu+Young,,2,0.0,0,2,0.0,0.0
Stuart+Frame,,43,20.0,8,40,78.75,84.0
Stuart+Zweygardt,,7,0.0,0,6,0.0,0.0
Sye+Jones,,180,14.29,22,154,78.05,86.5
TJ+Gray,Right,547,41.33,205,496,83.37,92.0
TJ+McGovern,,13,30.0,3,10,70.33,71.0
TJ+Schmidt,Right,136,21.77,27,124,76.22,87.0
TR+Wheeler,,6,20.0,1,5,85.0,85.0
Tad+Willbanks,,17,0.0,0,17,0.0,0.0
Tahj+Wells,Right,73,22.73,15,66,83.27,86.0
Talan+Kanngiesser,Right,14,0.0,0,14,0.0,0.0
Talmadge+Langley,Left,74,28.13,18,64,76.89,84.0
Tanner+Christian,,16,18.75,3,16,83.43,85.5
Tanner+Dale,,12,16.67,2,12,76.68,83.5
