rider_slug,riding_hand,total_records,career_qual_pct,career_rides,career_attempts,career_avg_score,career_high_score
Kristopher+Baker,Right,61,10.71,6,56,83.17,86.0
Kristopher+Phillips,,4,25.0,1,4,73.0,73.0
Kurt+Smay,,25,4.55,1,22,63.0,63.0
Kurt+Strasner,,40,2.63,1,38,65.0,65.0
Ky+Hamilton,Right,690,45.27,263,581,85.36,93.0
Ky+Parrish,,4,0.0,0,4,0.0,0.0
Kyle+Barnett,,5,50.0,2,4,74.5,75.0
Kyle+Broadwater,,11,0.0,0,10,0.0,0.0
Kyle+Brown,,134,9.73,11,113,72.36,82.0
Kyle+Cheney,,52,19.61,10,51,79.55,84.0
Kyle+Eaton,Right,300,16.13,45,279,79.93,87.5
Kyle+Hendrickson,,1,0.0,0,1,0.0,0.0
Kyle+Howg,,10,11.11,1,9,80.0,80.0
Kyle+Joslin,Left,627,29.72,148,498,76.91,90.0
Kyle+Mangan,,1,0.0,0,1,0.0,0.0
Kyle+McDaniel,Right,38,16.22,6,37,84.42,89.0
Kyle+Miller,Right,207,12.82,25,195,75.32,83.0
Kyler+McDonald,,35,14.29,5,35,79.4,84.0
Kyler+Oliver,Left,258,34.02,83,244,86.05,92.0
LJ+Doty,,34,3.23,1,31,72.0,72.0
LJ+Good,,7,0.0,0,7,0.0,0.0
Lance+Lara,Right,78,18.67,14,75,79.96,90.0
Lance+Leemaster,,1,0.0,0,1,0.0,0.0
Lance+Templet,,10,12.5,1,8,70.0,70.0
Lance+West,,13,9.09,1,11,66.0,66.0
Landen+Jones,,29,0.0,0,27,0.0,0.0
Landis+Hooks,,19,6.25,1,16,74.0,74.0
Landon+Deason,,1,0.0,0,1,0.0,0.0
Landon+Hall,Right,108,18.56,18,97,76.33,92.0
Landon+Ruybal,Right,29,10.34,3,29,81.67,86.0
Landon+Shule,,2,0.0,0,2,0.0,0.0
Landon+Stevens,,9,0.0,0,8,0.0,0.0
Lane+Carnes,,1,0.0,0,1,0.0,0.0
Lane+Clark,Right,173,7.93,13,164,76.31,86.0
Lane+Dixon,,49,15.22,7,46,73.0,85.0
Lane+Edwards,,12,8.33,1,12,87.3,87.3
Lane+Hodges,,4,0.0,0,4,0.0,0.0
Lane+Kruse,,2,0.0,0,2,0.0,0.0
Lane+Ladner,Right,19,23.53,4,17,80.63,83.0
Lane+Leeper,,12,40.0,4,10,74.63,85.0
Lane+Miller,,7,0.0,0,7,0.0,0.0
Lane+Nixon,Right,320,25.52,73,286,79.6,89.0
Lane+Nobles,Right,384,24.14,84,348,83.23,90.5
Lane+Vaughan,Right,269,50.0,128,256,81.43,89.0
Lane+Wilkins,,14,0.0,0,13,0.0,0.0
Lante+Swallow,Right,25,4.17,1,24,88.0,88.0
Larenz+Tsosie,,20,5.56,1,18,78.0,78.0
Larren+Daley,,5,0.0,0,5,0.0,0.0
Larry+Delgado,,8,0.0,0,8,0.0,0.0
Larry+Leist,Right,160,33.11,49,148,75.85,91.0
Lathan+DeMontigny,,11,18.18,2,11,65.0,76.0
Latrell+Long,Right,64,17.65,9,51,82.67,88.0
Lauro+Nunes+Vieira,Right,46,29.55,13,44,83.3,86.7
Layne+McCasland,Right,328,33.58,92,274,75.84,90.0
Layne+Shampang,,16,26.67,4,15,77.0,79.0
Leandro+Zampollo,Left,187,35.8,63,176,84.81,90.85
Leandro+da+Silva,,1,0.0,0,1,0.0,0.0
Lee+Akin,Right,435,35.68,137,384,84.89,94.5
Lee+Delong,,5,0.0,0,4,0.0,0.0
Lee+Green,,1,0.0,0,1,0.0,0.0
Lee+Matter,,2,0.0,0,1,0.0,0.0
Lee+Woolsey,Left,361,38.56,123,319,77.18,92.0
Leif+Ferri,Left,88,3.66,3,82,74.5,81.0
Lennon+Cook,,13,23.08,3,13,84.0,87.0
Leon+Stump,,2,0.0,0,2,0.0,0.0
Leonard+Moore,,5,0.0,0,5,0.0,0.0
Leonardo+Castro,Right,239,45.13,102,226,84.65,90.5
Leonardo+Lima,Right,363,18.82,64,340,83.55,90.0
Leroy+Cooper,,23,61.9,13,21,76.12,83.0
Les+Sloan,,1,0.0,0,1,0.0,0.0
Levi+Banks,,2,0.0,0,2,0.0,0.0
Levi+Berends,Left,46,21.62,8,37,80.69,92.0
Levi+Boyd,Left,158,13.89,20,144,82.45,90.0
Levi+Davis,,1,0.0,0,1,0.0,0.0
Levi+Ditmore,,4,0.0,0,3,0.0,0.0
Levi+Gray,Left,370,18.02,60,333,82.04,91.0
Levi+Quillan,Right,100,3.33,3,90,77.0,82.5
Levi+Smith,Left,194,37.36,65,174,75.75,87.0
Levi+Vold,,2,0.0,0,2,0.0,0.0
Levi+Wagner,,4,0.0,0,4,0.0,0.0
Levi+Ward,Right,20,10.0,2,20,81.25,85.5
Levi+Yoder,,14,14.29,2,14,79.5,81.0
Liam+Bishop,,20,0.0,0,20,0.0,0.0
Liam+Silas+Cann,,29,0.0,0,29,0.0,0.0
Lin+Bradley,,16,0.0,0,11,0.0,0.0
Linc+Cummings,Left,13,36.36,4,11,73.5,79.0
Linden+Raaen,,20,5.88,1,17,85.0,85.0
Logan+Biever,Left,367,25.94,90,347,83.75,89.5
Logan+Bottoms,,4,25.0,1,4,84.5,84.5
Logan+Esau,,18,0.0,0,18,0.0,0.0
Logan+Knibbe,Left,723,30.05,165,549,81.78,93.5
Logan+Nagy,,2,0.0,0,2,0.0,0.0
Logan+Peterson,,63,3.28,2,61,51.5,71.0
Logan+Smith,,55,10.91,6,55,71.52,74.0
Logan+Vannucci,,2,0.0,0,2,0.0,0.0
Logan+Vieira,,2,0.0,0,2,0.0,0.0
Lon+Danley,Right,566,23.77,116,488,79.78,88.5
Lonnie+Carpenter,Left,362,29.85,97,325,78.17,90.0
Lonnie+Phillips,,25,15.0,3,20,80.58,85.75
Lonnie+West,Left,447,33.17,133,401,83.33,90.0
Loran+Shorty,,8,12.5,1,8,83.0,83.0
Lorenzo+Charley,,37,0.0,0,23,0.0,0.0
Lorne+Sampson,,26,10.0,2,20,78.75,84.5
Lou+Daniell,,7,0.0,0,7,0.0,0.0
Louie+Yumas,,1,0.0,0,1,0.0,0.0
Lucas+Carroll,,5,60.0,3,5,74.33,80.0
Lucas+Divino,Right,659,38.57,238,617,84.97,92.0
Lucas+Dunand,,17,5.88,1,17,74.0,74.0
Lucas+Felix,,33,13.79,4,29,75.93,82.5
Lucas+Ferreira,,1,0.0,0,1,0.0,0.0
Lucas+Fideles+Souza,Left,312,24.41,73,299,83.69,89.0
Lucas+Lund,,40,7.5,3,40,81.0,84.0
Lucas+Martins+Costa,Left,175,30.82,49,159,82.99,87.3
Lucas+Mooningham,Right,182,23.49,39,166,82.18,89.0
Lucas+da+Silva+Santos,,3,0.0,0,3,0.0,0.0
Luciano+De+Castro,Left,862,46.51,366,787,85.59,92.5
Luis+Dorado,,1,0.0,0,1,0.0,0.0
Luis+Maldonado,,2,0.0,0,1,0.0,0.0
Luis+Porto,,7,0.0,0,6,0.0,0.0
Luis+Tinoco,,44,0.0,0,42,0.0,0.0
Luiz+Americo+P.+Silva,,16,14.29,2,14,82.35,83.0
Lukasey+Morris,Left,559,26.73,135,505,81.59,90.0
Luke+Bracha,,14,16.67,2,12,73.0,77.0
Luke+Brown,,1,0.0,0,1,0.0,0.0
Luke+Collins,,11,11.11,1,9,73.0,73.0
Luke+Dotson,Left,124,26.09,30,115,80.73,88.0
Luke+Dunand,,55,5.88,3,51,78.67,81.0
