bull_id,name,power_rating,avg_bull_score,avg_adjusted,attempts,rides,avg_ride_score,buckoff_pct,pre_ride_prob,hand_advantage_pct,hand_advantage_dir,lh_wins,lh_losses,lh_pct,lh_total,rh_wins,rh_losses,rh_pct,rh_total,top_riders_wins,top_riders_losses,top_riders_pct,contractor,active,round_wins,rider_round_wins
1558,-20 Buzzard Bait (1558),52.5,19.008,,31,14,72.96,54.84,,19,RIGHT,4,5,44.44,9,2,6,25.0,8,1,1,50.0,Buzzard Bait,True,1,0
1559,25 High Roller (1559),72.16,20.536,,56,18,80.86,67.86,,18,RIGHT,11,4,73.33,15,15,12,55.56,27,11,10,52.38,High Roller,True,6,1
1562,312 Ruff Enuff (1562),61.9,19.793,,23,5,77.0,78.26,,36,RIGHT,6,1,85.71,7,1,1,50.0,2,2,1,66.67,Ruff Enuff,True,1,0
1563,315 Little Fat Man (1563),57.37,19.75,,37,9,79.33,75.68,,18,LEFT,6,4,60.0,10,7,2,77.78,9,2,2,50.0,Little Fat Man,True,0,1
1565,359 Stroker Ace (1565),75.75,21.844,,9,0,0.0,100.0,,,,4,0,100.0,4,4,0,100.0,4,1,0,100.0,Stroker Ace,True,0,0
1569,50 Little Vegas (1569),36.9,18.656,,16,6,69.17,62.5,,,,1,2,33.33,3,2,2,50.0,4,0,1,0.0,Little Vegas,True,0,0
1570,58 Showtime (1570),55.53,20.039,,51,18,79.11,64.71,,24,LEFT,9,11,45.0,20,9,4,69.23,13,3,7,30.0,Showtime,True,2,6
1572,610 Arctic Cat (1572),83.29,21.01,,52,10,84.15,80.77,,24,LEFT,7,4,63.64,11,22,3,88.0,25,18,7,72.0,Arctic Cat,True,7,4
1574,705 Cool Hand (1574),79.0,20.669,,93,24,85.24,74.19,,1,RIGHT,20,9,68.97,29,28,13,68.29,41,29,18,61.7,Cool Hand,True,2,4
1584,C69 Undertaker (1584),46.14,19.065,,24,10,75.8,58.33,,30,LEFT,1,4,20.0,5,3,3,50.0,6,1,5,16.67,Undertaker,True,0,0
160,731 Bo Dippin (160),,22.28,,46,,,,,,,,,,,,,,,,,,,True,,
1608,K606 Adios (1608),,20.548,,21,,,,,,,,,,,,,,,,,,,True,,
161,751 Boozer (161),,20.125,,22,,,,,,,,,,,,,,,,,,,True,,
1611,K83 * (1611),,20.056,,10,,,,,,,,,,,,,,,,,,,True,,
1614,K888 Cat Tracks (1614),,20.917,,12,,,,,,,,,,,,,,,,,,,True,,
1617,K951 Crook (1617),,20.033,,15,,,,,,,,,,,,,,,,,,,True,,
162,809 Big Time (162),,21.84,,29,,,,,,,,,,,,,,,,,,,True,,
1630,KK081 Mouse Trap (1630),,19.694,,9,,,,,,,,,,,,,,,,,,,True,,
1633,KK110 * (1633),,18.885,,24,,,,,,,,,,,,,,,,,,,True,,
1636,KK19 Bedrock (1636),,19.972,,20,,,,,,,,,,,,,,,,,,,True,,
1639,KK29 West Coast Tornado (1639),,21.33,,22,,,,,,,,,,,,,,,,,,,True,,
16487,403 Dewalt Power (16487),,20.694,,14,,,,,,,,,,,,,,,,,,,True,,
16491,29 Orange Crush (16491),,18.417,,3,,,,,,,,,,,,,,,,,,,True,,
1658,-22 Trail Dust (1658),,20.526,,19,,,,,,,,,,,,,,,,,,,True,,
1659,-32 Tuff Snuff (1659),,20.375,,15,,,,,,,,,,,,,,,,,,,True,,
1663,21 * (1663),,18.625,,4,,,,,,,,,,,,,,,,,,,True,,
1666,30 Shake Rattle & Roll (1666),,19.631,,23,,,,,,,,,,,,,,,,,,,True,,
167,89 Alleycat (167),,21.075,,67,,,,,,,,,,,,,,,,,,,True,,
1672,7 War Dance (1672),,22.807,22.633,149,,,,,,,,,,,,,,,,,,,True,,
