bull_id_str,bull_career_outs,bull_career_buckoffs,bull_buckoff_pct,bull_qual_pct,bull_avg_score,bull_recent_buckoff,bull_spin_dir
1101,21.0,20.0,95.23809523809523,4.761904761904773,35.88235294117647,0.9,RIGHT
1102,20.0,15.0,75.0,25.0,39.861111111111114,0.7,RIGHT
1103,6.0,3.0,50.0,50.0,33.6,0.5,
1104,21.0,15.0,71.42857142857143,28.57142857142857,38.94736842105263,0.5,LEFT
1105,20.0,17.0,85.0,15.0,39.5625,0.7,RIGHT
1107,3.0,1.0,33.33333333333333,66.66666666666667,39.166666666666664,0.3333333333333333,RIGHT
1108,4.0,4.0,100.0,0.0,35.125,1.0,
111,6.0,6.0,100.0,0.0,35.583333333333336,1.0,
1110,15.0,15.0,100.0,0.0,39.11538461538461,1.0,RIGHT
1111,11.0,9.0,81.81818181818183,18.181818181818173,39.625,0.9,RIGHT
1112,6.0,4.0,66.66666666666666,33.33333333333334,40.8,0.6666666666666666,LEFT
1113,16.0,15.0,93.75,6.25,41.93333333333333,0.9,RIGHT
1114,16.0,13.0,81.25,18.75,35.642857142857146,0.7,RIGHT
1115,20.0,19.0,95.0,5.0,35.26470588235294,1.0,RIGHT
11150,1.0,0.0,0.0,100.0,33.0,0.0,
1116,0.0,0.0,50.0,50.0,41.0,0.5,
1117,13.0,11.0,84.61538461538461,15.384615384615387,35.22222222222222,0.9,RIGHT
11172,0.0,0.0,50.0,50.0,41.0,0.5,
1118,8.0,5.0,62.5,37.5,39.5,0.625,RIGHT
112,3.0,3.0,100.0,0.0,36.666666666666664,1.0,
1120,21.0,18.0,85.71428571428571,14.285714285714292,37.05263157894737,0.8,LEFT
1121,8.0,7.0,87.5,12.5,35.0,0.875,
1122,11.0,7.0,63.63636363636363,36.36363636363637,37.77272727272727,0.6,RIGHT
1123,11.0,9.0,81.81818181818183,18.181818181818173,32.285714285714285,0.8,
1124,14.0,11.0,78.57142857142857,21.42857142857143,35.7,0.7,RIGHT
1125,20.0,14.0,70.0,30.0,36.107142857142854,0.7,LEFT
1126,11.0,5.0,45.45454545454545,54.54545454545455,41.0,0.5,LEFT
1127,14.0,8.0,57.14285714285714,42.85714285714286,34.80769230769231,0.6,LEFT
1128,19.0,13.0,68.42105263157895,31.578947368421055,37.921052631578945,0.7,LEFT
1129,24.0,12.0,50.0,50.0,38.86363636363637,0.6,LEFT
113,2.0,2.0,100.0,0.0,39.0,1.0,
1130,15.0,11.0,73.33333333333333,26.66666666666667,35.857142857142854,0.8,RIGHT
1131,8.0,5.0,62.5,37.5,32.57142857142857,0.625,
1132,20.0,19.0,95.0,5.0,39.14705882352941,1.0,LEFT
1133,11.0,9.0,81.81818181818183,18.181818181818173,37.09090909090909,0.8,RIGHT
1134,21.0,19.0,90.47619047619048,9.523809523809518,36.8235294117647,0.9,LEFT
1135,5.0,5.0,100.0,0.0,45.6,1.0,RIGHT
1136,19.0,17.0,89.47368421052632,10.526315789473685,38.392857142857146,0.8,LEFT
1137,9.0,7.0,77.77777777777779,22.222222222222214,43.42857142857143,0.7777777777777778,RIGHT
1138,14.0,10.0,71.42857142857143,28.57142857142857,41.166666666666664,0.6,LEFT
1139,6.0,4.0,66.66666666666666,33.33333333333334,33.25,0.6666666666666666,
114,20.0,20.0,100.0,0.0,42.5,1.0,
1140,17.0,17.0,100.0,0.0,42.785714285714285,1.0,RIGHT
1141,8.0,7.0,87.5,12.5,41.625,0.875,RIGHT
1142,6.0,4.0,66.66666666666666,33.33333333333334,29.166666666666668,0.6666666666666666,
1143,1.0,0.0,0.0,100.0,28.0,0.0,
1144,3.0,3.0,100.0,0.0,37.166666666666664,1.0,
